,tmp36,mcp9808
timestamp,temperature C,temperature C
1.0036351680755615,22.517947635135144,21.375
2.005932092666626,22.77924408783784,21.375
3.0005931854248047,22.517947635135144,21.375
4.004072189331055,22.34375,21.3125
5.003348112106323,22.430848817567565,21.25
6.004179000854492,22.082453547297305,21.1875
7.001641035079956,22.34375,21.1875
8.004696130752563,21.90825591216216,20.6875
9.005650043487549,20.688872466216225,19.5625
10.005462169647217,18.859797297297305,18.8125
11.00297212600708,17.72751266891892,18.125
12.001775026321411,16.769425675675677,17.25
13.005081176757812,15.462943412162161,16.5625
14.004338026046753,14.243559966216225,15.9375
15.0018630027771,13.285472972972983,15.5
16.002925157546997,12.153188344594597,14.875
17.00409197807312,12.066089527027032,14.375
18.004845142364502,10.933804898648646,13.875
19.005539178848267,9.714421452702709,13.3125
20.004963159561157,9.017630912162161,12.8125
21.002056121826172,8.320840371621628,12.375
22.003400087356567,7.536951013513516,11.9375
23.002739191055298,7.188555743243249,11.5
24.004239082336426,6.491765202702709,11.0
25.00399112701416,6.143369932432435,10.6875
26.002372980117798,5.882073479729733,10.3125
27.00069808959961,5.7078758445945965,9.875
28.00023603439331,5.011085304054056,9.375
29.00147318840027,4.314294763513516,9.0625
30.005649089813232,4.140097128378379,8.6875
31.006072998046875,3.5304054054054106,8.1875
32.0025360584259,3.6175042229729755,7.9375
33.003395080566406,3.0078125,7.6875
34.0045599937439,2.6594172297297334,7.25
35.00198197364807,1.7013302364864913,6.9375
36.0037260055542,2.13682432432433,6.6875
37.005019187927246,2.3981207770270316,6.375
38.00635504722595,1.2658361486486527,6.0625
39.0028030872345,1.2658361486486527,5.75
40.004903078079224,1.7013302364864913,5.375
41.00029516220093,0.3077491554054106,5.0625
42.00560712814331,-0.5632390202702666,4.8125
43.00422215461731,-0.38904138513512976,4.5625
44.00356316566467,0.2206503378378386,4.375
45.00037503242493,-0.8245354729729684,4.1875
46.005800008773804,-0.38904138513512976,4.0
47.00314903259277,-1.3471283783783718,3.75
48.00104308128357,-1.4342271959459438,3.375
49.00352501869202,-1.08583192567567,3.125
50.00390100479126,-2.305215371621621,2.9375
51.00237703323364,-2.6536106418918877,2.75
52.001742124557495,-2.6536106418918877,2.5
53.00380206108093,-2.6536106418918877,2.3125
54.00175499916077,-3.176203547297291,2.0
55.002947092056274,-3.6987964527027017,1.6875
56.00192713737488,-3.9600929054054035,1.5
57.00352501869202,-3.6116976351351298,1.375
58.00270199775696,-4.656883445945944,1.125
59.00210905075073,-4.569784628378379,0.9375
60.002943992614746,-5.0052787162162105,0.625
61.006309032440186,-5.092377533783782,0.375
62.00305700302124,-5.353673986486484,0.1875
63.00376915931702,-5.0052787162162105,-0.125
64.00432205200195,-5.876266891891888,-0.25
65.00068211555481,-5.614970439189186,-0.4375
66.00615000724792,-6.137563344594589,-0.6875
67.00178098678589,-6.137563344594589,-0.75
68.0047709941864,-6.83435388513513,-1.0
69.00073313713074,-6.485958614864863,-1.125
70.00586700439453,-6.747255067567565,-1.3125
71.00562906265259,-6.921452702702702,-1.5
72.00181317329407,-7.095650337837839,-1.5
73.00380301475525,-7.269847972972968,-1.5
74.0016701221466,-7.095650337837839,-1.5
75.00068497657776,-6.921452702702702,-1.5
76.00080513954163,-6.66015625,-1.4375
77.00279998779297,-6.66015625,-1.5
78.00134110450745,-6.747255067567565,-1.5
79.00566101074219,-6.747255067567565,-1.5625
80.00090503692627,-6.921452702702702,-1.5
81.00214505195618,-6.398859797297291,-1.5625
82.00028800964355,-6.573057432432428,-1.5625
83.00181818008423,-5.96336570945946,-1.375
84.00424313545227,-6.66015625,-1.3125
85.00186514854431,-6.224662162162161,-1.1875
86.00302910804749,-6.137563344594589,-1.125
87.00425004959106,-5.789168074324323,-1.1875
88.00187611579895,-5.876266891891888,-1.125
89.00128507614136,-5.789168074324323,-1.1875
90.00482606887817,-5.614970439189186,-1.25
91.00278806686401,-5.353673986486484,-1.375
92.00020503997803,-6.137563344594589,-1.375
93.00208115577698,-5.96336570945946,-1.375
94.00537610054016,-6.137563344594589,-1.375
95.00366997718811,-6.224662162162161,-1.375
96.0051851272583,-6.224662162162161,-1.375
97.00183200836182,-5.789168074324323,-1.375
98.0016942024231,-6.485958614864863,-1.5625
99.00289511680603,-6.66015625,-1.5
100.0037751197815,-6.747255067567565,-1.625
101.00392508506775,-6.66015625,-1.625
102.00354409217834,-7.095650337837839,-1.625
103.00471806526184,-6.485958614864863,-1.8125
104.00222516059875,-6.921452702702702,-1.8125
105.00444412231445,-6.921452702702702,-1.75
106.00024199485779,-7.095650337837839,-1.75
107.0027801990509,-7.1827491554054035,-1.875
108.00359511375427,-7.269847972972968,-1.8125
109.00573110580444,-7.879539695945944,-1.8125
110.00207901000977,-7.705342060810807,-1.875
111.00407600402832,-7.35694679054054,-2.0
112.00088000297546,-7.705342060810807,-2.0625
113.00319600105286,-7.095650337837839,-2.125
114.00114917755127,-7.444045608108105,-2.125
115.003986120224,-7.792440878378379,-2.125
116.00061702728271,-8.05373733108108,-2.125
117.00492310523987,-7.444045608108105,-2.25
118.00317406654358,-7.792440878378379,-2.4375
119.00107908248901,-8.140836148648646,-2.5625
120.00261807441711,-7.792440878378379,-2.5
121.00475716590881,-8.140836148648646,-2.5625
122.0051040649414,-8.22793496621621,-2.625
123.00014209747314,-8.92472550675675,-2.75
124.00054001808167,-8.663429054054049,-2.8125
125.00394415855408,-8.750527871621621,-2.9375
126.00226902961731,-8.750527871621621,-2.875
127.00442504882812,-9.18602195945946,-2.9375
128.00243401527405,-8.750527871621621,-2.9375
129.00295114517212,-8.837626689189186,-3.0
130.00142812728882,-8.837626689189186,-2.9375
131.00347518920898,-8.837626689189186,-2.875
132.0056049823761,-8.92472550675675,-3.0
133.00241017341614,-9.011824324324323,-3.0625
134.0003080368042,-8.92472550675675,-3.1875
135.0011990070343,-8.92472550675675,-3.25
136.00513315200806,-8.92472550675675,-3.3125
137.00423002243042,-9.18602195945946,-3.375
138.0018970966339,-9.011824324324323,-3.4375
139.00551319122314,-8.92472550675675,-3.375
140.00160002708435,-8.837626689189186,-3.4375
141.00131011009216,-9.708614864864863,-3.625
142.00510716438293,-9.273120777027025,-3.6875
143.0015480518341,-9.534417229729726,-3.75
144.00119304656982,-9.708614864864863,-3.6875
145.00103497505188,-9.447318412162161,-3.6875
146.0029571056366,-9.708614864864863,-3.6875
147.00257110595703,-9.534417229729726,-3.75
148.0047481060028,-8.750527871621621,-3.75
149.0018789768219,-9.708614864864863,-3.75
150.0063030719757,-9.621516047297298,-3.75
151.00562119483948,-9.708614864864863,-3.9375
152.0010290145874,-9.969911317567565,-4.0625
153.0053951740265,-10.318306587837839,-4.125
154.00011801719666,-9.8828125,-4.1875
155.00475215911865,-10.231207770270267,-4.25
156.00107407569885,-10.144108952702702,-4.375
157.00439715385437,-9.969911317567565,-4.375
158.00138306617737,-10.231207770270267,-4.375
159.00134205818176,-10.318306587837839,-4.4375
160.00425815582275,-9.969911317567565,-4.5
161.00271010398865,-10.318306587837839,-4.5
162.00496411323547,-10.57960304054054,-4.5625
163.00059413909912,-9.969911317567565,-4.75
164.00190019607544,-10.666701858108105,-4.6875
165.00492811203003,-10.144108952702702,-4.75
166.00397419929504,-10.57960304054054,-4.6875
167.0022439956665,-10.57960304054054,-4.6875
168.00417304039001,-10.405405405405403,-4.6875
169.0045289993286,-10.666701858108105,-4.75
170.00180912017822,-10.927998310810807,-4.875
171.00131702423096,-10.231207770270267,-4.9375
172.00387501716614,-11.102195945945944,-5.0
173.00275707244873,-10.927998310810807,-5.0625
174.00071716308594,-11.189294763513509,-5.125
175.00248217582703,-11.363492398648646,-5.125
176.00245213508606,-11.537690033783782,-5.25
177.00228118896484,-11.886085304054049,-5.375
178.00495314598083,-11.537690033783782,-5.4375
179.00480699539185,-11.798986486486484,-5.5
180.00333213806152,-11.71188766891892,-5.625
181.00208806991577,-11.886085304054049,-5.625
182.00223302841187,-11.886085304054049,-5.6875
183.00220203399658,-11.624788851351347,-5.6875
184.00551915168762,-11.624788851351347,-5.8125
185.00586605072021,-11.27639358108108,-5.8125
186.00047612190247,-11.973184121621621,-5.75
187.00491404533386,-11.624788851351347,-5.8125
188.00042605400085,-11.71188766891892,-5.875
189.00266909599304,-12.234480574324323,-6.0625
190.0056071281433,-11.886085304054049,-6.125
191.00281620025635,-12.40867820945946,-6.25
192.00320601463318,-12.234480574324323,-6.25
193.00593900680542,-12.40867820945946,-6.3125
194.0040111541748,-12.147381756756758,-6.375
195.00525999069214,-12.58287584459459,-6.4375
196.00471210479736,-12.931271114864863,-6.4375
197.00366115570068,-12.234480574324323,-6.5
198.00377416610718,-13.018369932432428,-6.625
199.00604510307312,-12.495777027027025,-6.6875
200.00606107711792,-12.844172297297298,-6.75
201.0016360282898,-12.669974662162161,-6.75
202.00389409065247,-12.147381756756758,-6.8125
203.0019211769104,-12.58287584459459,-6.875
204.00117897987366,-12.931271114864863,-6.9375
205.0045871734619,-13.10546875,-7.0
206.00355005264282,-13.366765202702702,-7.125
207.00160717964172,-12.931271114864863,-7.0625
208.00133109092712,-12.669974662162161,-7.25
209.0035481452942,-12.757073479729726,-7.25
210.00199007987976,-13.366765202702702,-7.25
211.00170302391052,-13.192567567567565,-7.375
212.00045704841614,-13.10546875,-7.4375
213.00510215759277,-13.27966638513513,-7.4375
214.00227904319763,-13.192567567567565,-7.5625
215.00194716453552,-13.192567567567565,-7.5625
216.00246119499207,-13.453864020270267,-7.5625
217.00426316261292,-13.27966638513513,-7.6875
218.00598311424255,-13.27966638513513,-7.75
219.00063610076904,-13.27966638513513,-7.6875
220.00530409812927,-13.80225929054054,-7.8125
221.002375125885,-13.540962837837839,-7.8125
222.00116109848022,-13.018369932432428,-7.875
223.00096106529236,-13.366765202702702,-7.9375
224.0040740966797,-13.366765202702702,-8.0
225.00306916236877,-13.715160472972968,-8.1875
226.00074911117554,-13.80225929054054,-8.1875
227.00291109085083,-13.80225929054054,-8.25
228.00196719169617,-13.366765202702702,-8.375
229.0027461051941,-13.628061655405403,-8.375
230.0062301158905,-14.150654560810807,-8.375
231.00238513946533,-13.889358108108105,-8.5
232.00307703018188,-14.063555743243242,-8.4375
233.00228905677795,-13.80225929054054,-8.4375
234.00605702400208,-13.715160472972968,-8.625
235.00127720832825,-14.063555743243242,-8.625
236.0021460056305,-14.150654560810807,-8.625
237.0036280155182,-14.150654560810807,-8.6875
238.00298714637756,-14.063555743243242,-8.6875
239.00391817092896,-13.715160472972968,-8.75
240.00112414360046,-14.324852195945944,-8.9375
241.0053460597992,-14.760346283783782,-9.0
242.0033941268921,-13.889358108108105,-8.9375
243.00551104545593,-14.150654560810807,-8.9375
244.0014522075653,-14.324852195945944,-9.0
245.00183200836182,-14.760346283783782,-9.0625
246.00417399406433,-14.760346283783782,-9.1875
247.0021710395813,-14.411951013513509,-9.1875
248.0030391216278,-14.411951013513509,-9.1875
249.00151419639587,-14.760346283783782,-9.25
250.0059621334076,-15.195840371621621,-9.375
251.00391912460327,-14.67324746621621,-9.4375
252.00549507141113,-14.760346283783782,-9.4375
253.00358319282532,-15.108741554054049,-9.5
254.00404119491577,-14.847445101351347,-9.5
255.002779006958,-14.93454391891892,-9.5625
256.00501918792725,-15.370038006756758,-9.5625
257.00227904319763,-15.021642736486484,-9.6875
258.0033800601959,-15.108741554054049,-9.75
259.0057120323181,-15.021642736486484,-9.75
260.0055160522461,-14.847445101351347,-9.75
261.0047311782837,-15.021642736486484,-9.8125
