time (sec),mcp9808: 1,tmp36: 0
,temperature C,temperature C
1.006127119064331,-20.5,7.6650390625
2.0022470951080322,-20.125,8.3095703125
3.0018980503082275,-19.3125,8.8251953125
4.001285076141357,-18.375,9.4375
5.003839015960693,-18.0,9.7919921875
6.001810073852539,-17.3125,9.953125
7.0028369426727295,-16.9375,10.2431640625
8.001410961151123,-16.5625,10.533203125
9.004290103912354,-16.0,10.533203125
10.000926971435547,-15.1875,10.146484375
11.004719018936157,-14.5625,11.5
12.004241943359375,-14.375,11.564453125
13.005162000656128,-14.1875,11.7578125
14.00617003440857,-13.625,11.8544921875
15.000625133514404,-12.75,12.337890625
16.002124071121216,-11.9375,12.6923828125
17.000159978866577,-11.125,13.1435546875
18.00108003616333,-10.5,13.240234375
19.00363802909851,-9.625,13.5625
20.00197196006775,-9.625,13.5947265625
21.00485610961914,-9.375,13.5947265625
22.00118398666382,-8.9375,13.5625
23.001402139663696,-8.6875,13.5947265625
24.004029989242554,-8.4375,13.755859375
25.003955125808716,-8.0,13.4658203125
26.00028896331787,-7.75,13.8203125
27.003005027770996,-7.9375,13.755859375
28.001224994659424,-7.9375,13.755859375
29.004312992095947,-8.0,13.7880859375
30.0033860206604,-8.0625,13.626953125
31.004647970199585,-8.0625,13.755859375
32.00112700462341,-8.0625,13.5625
33.000077962875366,-8.0,13.69140625
34.00014901161194,-8.0,13.369140625
35.005855083465576,-8.0,13.755859375
36.00238609313965,-8.0,13.6591796875
37.000802993774414,-8.0625,13.7880859375
38.00098395347595,-8.0625,13.8525390625
39.004064083099365,-8.0625,13.884765625
40.00201892852783,-8.0625,13.9814453125
41.0037579536438,-8.0,14.078125
42.00348711013794,-7.9375,14.142578125
43.004563093185425,-8.0,14.1103515625
44.002147912979126,-8.0,14.1748046875
45.005176067352295,-8.0,14.142578125
46.00229811668396,-8.0,14.3359375
47.00050711631775,-7.875,14.4326171875
48.00543403625488,-7.75,14.400390625
49.00068211555481,-7.625,14.529296875
50.004475116729736,-7.625,14.529296875
51.00156307220459,-7.5625,14.4970703125
52.00076603889465,-7.625,14.5615234375
53.002593994140625,-7.5,14.7548828125
54.00098896026611,-7.5,14.658203125
55.00197696685791,-7.4375,14.9482421875
56.00199294090271,-7.25,14.916015625
57.00433397293091,-7.25,15.0126953125
58.00257706642151,-7.1875,15.109375
59.00309991836548,-7.0,15.173828125
60.00541400909424,-7.0,15.1416015625
61.00202393531799,-6.9375,15.2060546875
62.00286793708801,-6.875,15.2060546875
63.00531601905823,-6.875,15.173828125
64.00393509864807,-6.875,15.2705078125
65.003427028656,-6.75,15.2705078125
66.00536894798279,-6.6875,15.3349609375
67.00441193580627,-6.6875,15.3349609375
68.00431299209595,-6.625,15.302734375
69.00313591957092,-6.5,15.2705078125
70.00161695480347,-6.375,15.4638671875
71.00439810752869,-6.375,15.4638671875
72.00380992889404,-6.3125,15.818359375
73.00065612792969,-6.25,15.49609375
74.00123810768127,-6.125,15.5283203125
75.00326895713806,-6.125,14.658203125
76.00396990776062,-6.0625,14.916015625
77.00080394744873,-6.0625,15.689453125
78.00105309486389,-6.0,15.75390625
79.00559997558594,-5.9375,15.625
80.00241708755493,-5.9375,15.818359375
81.00228905677795,-5.8125,15.689453125
82.0001630783081,-5.6875,15.689453125
83.00566506385803,-5.6875,15.75390625
84.00341510772705,-5.6875,15.689453125
85.00276708602905,-5.625,15.689453125
86.00097298622131,-5.5,15.8828125
87.00369906425476,-5.5,14.6904296875
88.00294613838196,-5.5,15.8828125
89.00399494171143,-5.4375,15.8505859375
90.00200510025024,-5.3125,15.818359375
91.00306510925293,-5.25,15.7861328125
92.00417613983154,-5.1875,15.818359375
93.0042290687561,-5.125,15.818359375
94.00275707244873,-5.0625,15.8505859375
95.00607705116272,-4.9375,15.9150390625
96.00616002082825,-4.875,16.01171875
97.00493812561035,-4.8125,15.9150390625
98.00300812721252,-4.8125,16.0439453125
99.00290012359619,-4.75,16.140625
100.00621795654297,-4.75,16.205078125
101.00302410125732,-4.6875,16.140625
102.00397396087646,-4.3125,16.26953125
103.00308609008789,-4.0625,16.333984375
104.00399994850159,-4.0,16.4306640625
105.00538301467896,-4.0,16.462890625
106.00274896621704,-3.9375,16.3662109375
107.00214290618896,-3.75,16.4951171875
108.00384902954102,-3.625,16.6240234375
109.00511002540588,-3.4375,16.7529296875
110.0003650188446,-3.3125,16.7529296875
111.00223803520203,-3.25,16.65625
112.0050060749054,-3.125,16.65625
113.0052261352539,-3.125,16.6884765625
114.00243306159973,-3.0625,16.65625
115.00456809997559,-3.0,16.65625
116.0036449432373,-2.8125,16.720703125
117.00455212593079,-2.75,16.65625
118.00441908836365,-2.6875,16.78515625
119.00068092346191,-2.625,16.9140625
120.00649404525757,-2.625,16.9140625
121.00063991546631,-2.4375,16.9462890625
122.00030493736267,-2.3125,16.7529296875
123.00244498252869,-2.3125,17.107421875
124.00527906417847,-2.25,17.171875
125.00050902366638,-2.1875,17.2685546875
126.00275707244873,-2.0,17.171875
127.0042839050293,-2.0,17.2041015625
128.00024104118347,-2.0,17.236328125
129.00227904319763,-1.8125,17.236328125
130.0039210319519,-1.75,17.236328125
131.00450491905212,-1.6875,17.2685546875
132.00066709518433,-1.625,15.7216796875
133.00263810157776,-1.5625,17.365234375
134.0010471343994,-1.5625,17.5908203125
135.00312304496765,-1.4375,17.107421875
136.00310492515564,-1.375,17.4296875
137.00570106506348,-1.25,17.30078125
138.00501608848572,-1.25,17.30078125
139.00208401679993,-1.1875,17.365234375
140.00099205970764,-1.125,17.365234375
141.0003650188446,-1.125,17.4619140625
142.0055480003357,-1.125,17.494140625
143.00496697425842,-1.0,17.2685546875
144.00196599960327,-0.9375,17.494140625
145.00584411621094,-0.9375,17.30078125
146.0001780986786,-0.9375,17.2685546875
147.00525093078613,-0.875,17.3974609375
148.00167298316956,-0.8125,17.2685546875
149.00252890586853,-0.75,17.365234375
150.00305891036987,-0.75,17.365234375
151.00200009346008,-0.625,17.4296875
152.00218892097473,-0.625,17.4296875
153.00505304336548,-0.5625,17.494140625
154.00363302230835,-0.5,17.5263671875
155.00287103652954,-0.4375,17.494140625
156.00409603118896,-0.3125,17.5908203125
157.00214195251465,-0.25,17.7841796875
158.00191497802734,-0.1875,17.494140625
159.00483202934265,-0.125,17.494140625
160.0002999305725,-0.0625,17.5908203125
161.0024471282959,0.0,17.6552734375
162.00057005882263,0.0625,17.6875
163.00313305854797,0.1875,17.751953125
164.000333070755,0.25,17.7841796875
165.00220012664795,0.375,17.81640625
166.0019829273224,0.75,17.9453125
167.00431203842163,0.875,17.9775390625
168.00183606147766,0.875,18.009765625
169.00143694877625,1.125,18.1064453125
170.005126953125,1.1875,17.9775390625
171.00365710258484,1.375,18.1708984375
172.00261092185974,1.4375,17.623046875
173.00159907341003,1.5,18.0419921875
174.0042691230774,1.5625,18.2998046875
175.00257396697998,1.625,18.1064453125
176.00180006027222,1.6875,18.267578125
177.00543093681335,1.75,18.203125
178.00479698181152,1.8125,18.1708984375
179.00246906280518,1.875,18.2998046875
180.00038409233093,2.0,18.2353515625
181.00459003448486,2.0625,18.4287109375
182.0003800392151,2.1875,18.58984375
183.00279211997986,2.3125,18.33203125
184.0024130344391,2.375,18.3642578125
185.0015320777893,2.375,18.525390625
186.00342798233032,2.4375,18.525390625
187.00575709342957,2.5,18.6865234375
188.00077605247498,2.5625,18.6865234375
189.004812002182,2.625,18.6220703125
190.00352311134338,2.6875,18.654296875
191.00060200691223,2.8125,18.525390625
192.0063190460205,2.9375,18.3642578125
193.00307202339172,3.0,18.654296875
194.00238299369812,3.0,18.6865234375
195.00060606002808,3.0625,18.7509765625
196.0055549144745,3.125,18.8154296875
197.0034990310669,3.125,24.1005859375
198.0007529258728,3.1875,18.71875
199.0006721019745,3.25,18.84765625
200.00488090515137,3.375,18.6865234375
201.0019509792328,3.5,18.912109375
202.00169396400452,3.5625,17.9453125
203.0049169063568,3.625,18.9765625
204.0033140182495,3.75,18.9443359375
205.00296306610107,3.9375,18.912109375
206.0003650188446,3.9375,18.8798828125
207.00098705291748,4.0,18.33203125
208.0040900707245,3.9375,19.041015625
209.00538992881775,4.0,18.9443359375
210.00162601470947,4.125,19.1376953125
211.00452709197998,4.25,19.10546875
212.00218892097473,4.3125,19.298828125
213.0017659664154,4.25,19.041015625
214.00472593307495,4.3125,19.169921875
215.00348901748657,4.375,19.298828125
216.0061640739441,4.375,19.36328125
217.00055599212646,4.4375,19.298828125
218.00432801246643,4.4375,19.1376953125
219.00440001487732,4.5,19.234375
220.0027310848236,4.5625,19.234375
221.00528597831726,4.5625,19.2666015625
222.00493693351746,4.5625,19.3310546875
223.00261402130127,4.625,19.169921875
224.0043089389801,4.625,19.234375
225.00525498390198,4.6875,19.2666015625
226.00479102134705,4.6875,19.3310546875
227.00171613693237,4.75,19.3310546875
228.00278902053833,4.75,19.2666015625
229.00498509407043,4.875,19.169921875
230.00412797927856,4.875,19.3955078125
231.00137209892273,5.0625,19.3310546875
232.00139212608337,5.0625,19.427734375
233.00422406196594,5.0625,19.556640625
234.00228095054626,5.125,19.4599609375
235.00072503089905,5.1875,19.5244140625
236.00520610809326,5.1875,19.7177734375
237.00349712371826,5.25,19.3955078125
238.00157403945923,5.375,19.3310546875
239.00355911254883,5.5,19.556640625
240.00586104393005,5.5625,19.5244140625
241.00450992584229,5.5625,19.5244140625
242.00163006782532,5.5625,19.556640625
243.00065302848816,5.625,19.556640625
244.00444293022156,5.625,19.556640625
245.00350403785706,5.75,19.6533203125
246.00191807746887,5.75,19.36328125
247.00545597076416,5.8125,19.6533203125
248.00471591949463,5.8125,19.5244140625
249.0021789073944,5.875,19.4599609375
250.0005919933319,5.875,19.556640625
251.00459599494934,5.9375,19.5888671875
252.00315594673157,6.0,19.62109375
253.00125193595886,6.0,19.685546875
254.00088095664978,6.0,19.6533203125
255.00425505638123,6.0625,19.685546875
256.0033550262451,6.125,19.75
257.0022990703583,6.125,19.75
258.000284910202,6.1875,19.87890625
259.00383496284485,6.1875,19.8466796875
260.002023935318,6.25,19.814453125
261.00157403945923,6.3125,19.87890625
262.0012309551239,6.3125,19.9755859375
263.0041151046753,6.375,19.8466796875
264.00206112861633,6.375,19.87890625
265.00053811073303,6.4375,19.943359375
266.0056369304657,6.4375,19.9755859375
267.003986120224,6.4375,19.9111328125
268.002249956131,6.5,20.0400390625
269.005469083786,6.5,19.9755859375
270.00341796875,6.625,20.0400390625
271.0022599697113,6.625,19.9111328125
272.0038571357727,6.6875,23.1982421875
273.0047171115875,6.75,20.1044921875
274.00399804115295,6.6875,20.1044921875
275.0016529560089,6.8125,20.072265625
276.0014910697937,6.75,20.13671875
277.00410509109497,6.9375,20.0400390625
278.002454996109,7.0,20.1689453125
279.0020890235901,7.0625,20.072265625
