time (sec),mcp9808: 1,tmp36: 0
,temperature C,temperature C
1.0060310363769531,21.375,23.6494140625
2.0018529891967773,21.1875,23.552734375
3.005819082260132,21.125,23.7138671875
4.006059885025024,21.125,23.5849609375
5.006437063217163,21.0625,23.810546875
6.0003790855407715,21.0625,23.6494140625
7.001515865325928,21.0625,23.5849609375
8.00250792503357,21.0,23.681640625
9.002212047576904,20.9375,23.5205078125
10.006021976470947,20.375,23.166015625
11.00087594985962,19.8125,22.71484375
12.001095056533813,19.375,22.45703125
13.004597902297974,18.875,22.1669921875
14.004639863967896,18.625,22.005859375
15.00219202041626,18.625,21.9736328125
16.002219915390015,18.5,21.7802734375
17.00259494781494,18.375,21.6513671875
18.005084991455078,18.125,21.490234375
19.00050687789917,17.9375,21.361328125
20.00038194656372,17.75,21.2001953125
21.003098011016846,17.625,21.103515625
22.00409507751465,17.5,21.0068359375
23.00394606590271,17.3125,20.78125
24.00216507911682,17.0625,20.78125
25.0058650970459,16.9375,20.716796875
26.000298023223877,16.8125,20.587890625
27.0037899017334,16.6875,20.458984375
28.00219988822937,16.5625,20.3623046875
29.00617289543152,16.4375,20.1689453125
30.005263090133667,16.3125,20.201171875
31.003577947616577,16.1875,20.0400390625
32.005125999450684,16.0625,20.0400390625
33.002350091934204,15.875,19.814453125
34.001786947250366,15.9375,19.87890625
35.00205898284912,15.75,19.6533203125
36.00415802001953,15.625,19.685546875
37.00546193122864,15.5,19.5888671875
38.00469088554382,15.375,19.4599609375
39.00564098358154,15.25,19.3955078125
40.00195598602295,15.125,19.2666015625
41.00155186653137,15.0,19.234375
42.00386905670166,14.9375,19.1376953125
43.00377607345581,14.75,19.0732421875
44.005966901779175,14.625,18.9443359375
45.003345012664795,14.5,18.783203125
46.00365400314331,14.375,18.783203125
47.002537965774536,14.3125,18.6865234375
48.00356197357178,14.125,18.6220703125
49.0041880607605,14.0625,18.525390625
50.00301194190979,13.9375,18.4609375
51.006463050842285,13.8125,18.396484375
52.00454592704773,13.6875,18.267578125
53.00645089149475,13.5,18.203125
54.004178047180176,13.4375,18.2353515625
55.004217863082886,13.3125,18.203125
56.002047061920166,13.1875,18.009765625
57.001293897628784,13.0625,17.9130859375
58.00142192840576,13.0,17.880859375
59.00471091270447,12.875,17.7841796875
60.00518488883972,12.6875,17.7841796875
61.00393891334534,12.5625,17.6875
62.00531005859375,12.5,17.623046875
63.002800941467285,12.375,17.5908203125
64.00515294075012,12.25,17.5263671875
65.00077986717224,12.125,17.236328125
66.00545692443848,12.0625,17.30078125
67.00302195549011,11.9375,17.2685546875
68.00010895729065,11.8125,17.5908203125
69.00095891952515,11.6875,17.04296875
70.0050790309906,11.5625,17.04296875
71.00513887405396,11.4375,17.0751953125
72.00498604774475,11.375,17.04296875
73.004469871521,11.1875,16.978515625
74.0019280910492,11.125,16.8173828125
75.00376105308533,10.9375,16.78515625
76.0023820400238,10.875,16.720703125
77.00573706626892,10.8125,16.720703125
78.00028705596924,10.75,16.65625
79.00056600570679,10.6875,16.5595703125
80.00301194190979,10.5,16.52734375
81.00413298606873,10.4375,16.3984375
82.00579786300659,10.3125,16.3662109375
83.00465393066406,10.1875,16.2373046875
84.00339388847351,10.125,16.3662109375
85.0018630027771,10.0,16.26953125
86.00235390663147,9.875,16.205078125
87.00222706794739,9.8125,16.076171875
88.0019359588623,9.6875,16.076171875
89.00065588951111,9.625,16.076171875
90.00261902809143,9.5,15.947265625
91.00454688072205,9.4375,15.8505859375
92.00186491012573,9.375,15.947265625
93.00267195701599,9.1875,15.9150390625
94.00393509864807,9.0625,15.5927734375
95.00417494773865,8.9375,15.75390625
96.00542902946472,8.875,15.689453125
97.00399088859558,8.75,15.625
98.00174498558044,8.625,15.4638671875
99.00403094291687,8.5625,15.6572265625
100.00613808631897,8.4375,15.4638671875
101.0044469833374,8.375,15.3994140625
102.00177192687988,8.25,15.3994140625
103.0024790763855,8.125,15.3349609375
104.00112986564636,8.0625,15.1416015625
105.0038390159607,7.875,15.0771484375
106.00093007087708,7.875,15.173828125
107.00596809387207,7.75,15.173828125
108.00376605987549,7.6875,15.1416015625
109.00224900245667,7.5625,15.044921875
110.00379204750061,7.5,14.8515625
111.00124287605286,7.4375,14.8837890625
112.00464200973511,7.3125,14.9482421875
113.00206899642944,7.1875,14.72265625
114.00370502471924,7.125,14.7548828125
115.001620054245,7.0,14.72265625
116.00227093696594,6.9375,14.658203125
117.00630187988281,6.875,14.658203125
118.000727891922,6.8125,14.59375
119.00145697593689,6.6875,14.7548828125
120.0005419254303,6.5625,14.6904296875
121.00238609313965,6.5,14.4326171875
122.00579404830933,6.4375,14.4326171875
123.00063300132751,6.3125,14.4326171875
124.00303792953491,6.3125,14.4326171875
125.0053939819336,6.25,14.4326171875
126.00526905059814,6.125,14.3359375
127.00548100471497,6.0625,14.400390625
128.00123405456543,6.0,14.3037109375
129.0019030570984,5.875,14.078125
130.00406098365784,5.6875,14.20703125
131.00319004058838,5.5625,13.8203125
132.00415587425232,5.5625,14.078125
133.00365209579468,5.4375,14.0458984375
134.0050709247589,5.375,13.8525390625
135.00536608695984,5.25,14.1103515625
136.0005509853363,5.125,13.94921875
137.00169205665588,5.0,13.9169921875
138.0053129196167,4.9375,13.8525390625
139.00174808502197,4.875,13.8203125
140.00238394737244,4.8125,13.8203125
141.00215196609497,4.75,13.7880859375
142.0013198852539,4.625,13.755859375
143.00143790245056,4.5625,13.5947265625
144.0033040046692,4.5,13.626953125
145.00381207466125,4.4375,13.626953125
146.0043659210205,4.3125,13.5947265625
147.0040819644928,4.3125,13.5625
148.0049068927765,4.25,13.4013671875
149.0037500858307,4.125,13.5947265625
150.00217390060425,4.125,13.4658203125
151.00108408927917,4.0625,13.5302734375
152.00108003616333,4.0,13.3046875
153.00594806671143,3.875,13.3369140625
154.00390005111694,3.75,13.2080078125
155.00065398216248,3.6875,13.369140625
156.0047369003296,3.625,13.3369140625
157.00137901306152,3.5625,13.3369140625
158.00220799446106,3.5,13.3046875
159.00138092041016,3.4375,13.240234375
160.0056450366974,3.375,13.1435546875
161.0030550956726,3.25,13.17578125
162.00317096710205,3.1875,13.17578125
163.00202202796936,3.0625,12.982421875
164.00252890586853,3.0,13.046875
165.00501108169556,2.9375,12.982421875
166.00360989570618,2.875,13.0146484375
167.00259709358215,2.8125,13.0146484375
168.00572299957275,2.75,12.982421875
169.00366497039795,2.625,12.8857421875
170.0002338886261,2.625,12.8857421875
171.00177597999573,2.5,12.853515625
172.0037169456482,2.4375,12.7568359375
173.00276398658752,2.3125,12.8212890625
174.00244307518005,2.1875,12.8212890625
175.0028200149536,2.1875,12.8212890625
176.00312495231628,2.125,12.853515625
177.0052080154419,2.0625,12.66015625
178.0038619041443,1.9375,12.6279296875
179.00521087646484,1.875,12.6923828125
180.00104188919067,1.8125,12.5634765625
181.00512790679932,1.8125,12.5634765625
182.00024008750916,1.6875,12.6279296875
183.0009250640869,1.625,12.595703125
184.00485587120056,1.5,12.53125
185.0036280155182,1.4375,12.595703125
186.00411891937256,1.375,12.466796875
187.00372004508972,1.3125,12.4345703125
188.00534296035767,1.3125,12.53125
189.00641703605652,1.1875,12.40234375
190.00564289093018,1.125,12.3701171875
191.0016279220581,1.0,12.337890625
192.00089502334595,0.9375,12.40234375
193.0039360523224,0.875,12.2734375
194.00325989723206,0.8125,12.337890625
195.00367307662964,0.75,12.3056640625
196.0007939338684,0.6875,12.2734375
197.001051902771,0.6875,12.1767578125
198.00477194786072,0.625,12.3701171875
199.00067591667175,0.5,12.2734375
200.00203394889832,0.4375,11.951171875
201.00461196899414,0.3125,12.1767578125
202.0006809234619,0.25,12.1123046875
203.00502800941467,0.25,12.080078125
204.00123190879822,0.1875,11.8544921875
205.0033860206604,0.0625,12.015625
206.00420904159546,0.0,11.8544921875
207.0024070739746,-0.0625,11.9189453125
208.0055799484253,-0.125,11.951171875
209.00605487823486,-0.1875,11.951171875
210.00260996818542,-0.25,11.7578125
211.0022430419922,-0.25,11.7900390625
212.00038504600525,-0.3125,11.951171875
213.00605702400208,-0.375,11.8544921875
214.00657296180725,-0.4375,11.822265625
215.0026409626007,-0.5,11.7578125
216.00381302833557,-0.5625,11.822265625
217.001699924469,-0.625,11.693359375
218.00333404541016,-0.6875,11.7900390625
219.0037920475006,-0.75,11.822265625
220.00361704826355,-0.75,11.88671875
221.0034999847412,-0.875,11.7578125
222.00377202033997,-0.9375,11.693359375
223.00362992286682,-1.0,11.5966796875
224.00359797477722,-1.0625,11.6611328125
225.0057680606842,-1.125,11.5966796875
226.0044720172882,-1.1875,11.5
227.00134205818176,-1.1875,11.564453125
228.0015459060669,-1.375,11.6611328125
229.00536394119263,-1.375,11.693359375
230.00275087356567,-1.1875,11.951171875
231.0035638809204,-0.9375,12.1767578125
232.0028359889984,-1.0625,12.2734375
233.002366065979,-0.9375,12.4345703125
234.00240087509155,-1.0625,12.3701171875
235.0024049282074,-1.25,12.3056640625
236.0028100013733,-1.25,12.40234375
237.00196504592896,-1.25,12.3701171875
238.00461792945862,-1.25,12.1767578125
239.00325202941895,-1.3125,12.3701171875
240.0025510787964,-1.3125,12.3701171875
241.00584602355957,-1.3125,12.3056640625
242.00300788879395,-1.375,12.208984375
243.00209307670593,-1.4375,12.14453125
244.00166702270508,-1.5,12.1123046875
245.0010850429535,-1.5,12.14453125
246.00289392471313,-1.5625,12.208984375
247.00105690956116,-1.5625,12.0478515625
248.00487995147705,-1.625,11.9833984375
249.00440001487732,-1.6875,12.337890625
250.0028040409088,-1.6875,12.015625
251.00293397903442,-1.75,11.951171875
252.00244688987732,-1.875,11.7900390625
253.00309896469116,-1.875,11.9189453125
254.00185799598694,-1.9375,11.9189453125
255.00133204460144,-2.0,11.822265625
256.00509309768677,-2.0,11.9189453125
257.00250005722046,-2.125,11.822265625
258.00463700294495,-2.25,11.822265625
259.00467109680176,-2.3125,11.822265625
260.0026330947876,-2.3125,11.7255859375
261.00517892837524,-2.375,11.822265625
262.0050220489502,-2.375,11.693359375
