time (sec),tmp36: 0,mcp9808: 1
,temperature C,temperature C
1.004370927810669,22.082453547297305,19.8125
2.0045220851898193,21.821157094594597,19.8125
3.0013818740844727,22.16955236486487,19.8125
4.0015869140625,21.646959459459467,19.8125
5.006186008453369,22.082453547297305,19.8125
6.0031609535217285,21.472761824324323,19.8125
7.004232883453369,21.646959459459467,19.8125
8.003150939941406,21.472761824324323,19.6875
9.005811929702759,20.60177364864866,19.375
10.001168012619019,19.992081925675677,18.75
11.002120018005371,18.77269847972974,17.875
12.005491018295288,18.424303209459467,17.8125
13.004066944122314,17.814611486486484,17.9375
14.002434968948364,17.29201858108108,17.6875
15.005083084106445,16.856524493243242,17.5
16.000334978103638,16.856524493243242,17.4375
17.00130295753479,15.985536317567565,17.1875
18.006425857543945,15.55004222972974,17.0625
19.001494884490967,15.201646959459467,16.75
20.003128051757812,14.591955236486484,16.5
21.005091905593872,14.243559966216225,16.25
22.003743886947632,13.546769425675677,16.0
23.004371881484985,12.762880067567565,15.75
24.002747058868408,12.50158361486487,15.5
25.005403995513916,11.978990709459467,15.25
26.001906871795654,11.804793074324323,14.9375
27.0049889087677,11.369298986486484,14.625
28.00354290008545,10.933804898648646,14.3125
29.00091290473938,10.585409628378386,14.0625
30.00148606300354,10.672508445945951,13.8125
31.00628900527954,9.801520270270274,13.4375
32.00580191612244,8.843433277027032,13.1875
33.00405693054199,9.366026182432435,13.0
34.000239849090576,9.104729729729726,12.6875
35.00335192680359,8.843433277027032,12.4375
36.00620889663696,8.75633445945946,12.1875
37.000608921051025,7.711148648648653,12.0
38.00390005111694,7.711148648648653,11.6875
39.00400400161743,7.014358108108112,11.375
40.00021290779114,6.8401604729729755,11.1875
41.00576400756836,6.578864020270274,10.9375
42.002639055252075,6.578864020270274,10.75
43.00388288497925,6.143369932432435,10.5
44.00267505645752,5.882073479729733,10.25
45.00136208534241,5.969172297297298,10.0625
46.0010449886322,5.7078758445945965,9.6875
