time (sec),tmp36: 0,mcp9808: 1
,temperature C,temperature C
1.0012478828430176,21.90825591216216,19.75
2.0031180381774902,21.821157094594597,19.75
3.0047800540924072,21.90825591216216,19.75
4.005770921707153,21.90825591216216,19.75
5.006264925003052,21.037267736486484,19.75
6.003353118896484,21.124366554054063,19.75
7.0016930103302,21.73405827702703,19.6875
8.006508111953735,21.559860641891902,19.75
9.001496076583862,21.472761824324323,19.75
10.000560998916626,22.082453547297305,19.6875
11.005353927612305,21.90825591216216,19.6875
12.003252029418945,21.90825591216216,19.75
13.00271201133728,22.256651182432435,19.75
14.00317096710205,21.90825591216216,19.75
15.00145411491394,21.559860641891902,19.375
16.006372928619385,20.95016891891892,18.9375
17.003346920013428,20.427576013513516,18.4375
18.001312017440796,19.033994932432435,18.0
19.000078916549683,18.163006756756758,17.5625
20.000165939331055,18.075907939189193,17.125
21.00249409675598,17.29201858108108,16.8125
22.00539994239807,16.94362331081082,16.5625
23.004437923431396,16.15973395270271,16.1875
24.004858016967773,15.8984375,15.9375
25.006026029586792,14.243559966216225,15.75
26.004422903060913,13.808065878378386,15.4375
27.002998113632202,13.808065878378386,15.0625
28.0040020942688,13.459670608108112,14.75
29.005260944366455,12.849978885135144,14.3125
30.002588033676147,12.240287162162161,14.0
31.00522494316101,11.978990709459467,13.6875
32.002986907958984,11.456397804054063,13.4375
33.00507307052612,11.10800253378379,13.0625
34.003417015075684,10.759607263513516,12.75
35.0049729347229,10.498310810810821,12.4375
36.00316596031189,10.324113175675677,12.0625
37.005691051483154,9.714421452702709,11.875
38.000787019729614,9.540223817567565,11.5625
39.00078010559082,9.104729729729726,11.3125
40.00397706031799,5.882073479729733,11.0
41.00044107437134,8.843433277027032,10.75
42.0024139881134,8.58213682432433,10.5
43.00448393821716,8.320840371621628,10.1875
44.002928018569946,8.233741554054056,9.9375
45.00053405761719,7.972445101351354,9.6875
46.005675077438354,7.275654560810814,9.5
47.00183296203613,6.753061655405411,9.1875
48.001657009124756,7.711148648648653,8.9375
49.001336097717285,6.23046875,8.6875
50.00144410133362,6.9272592905405475,8.375
51.00255608558655,6.23046875,8.1875
52.00609111785889,6.23046875,7.9375
53.00508689880371,5.53367820945946,7.75
54.004425048828125,5.620777027027032,7.5
55.00050210952759,6.23046875,7.3125
56.0057909488678,5.446579391891895,7.125
57.00573110580444,5.53367820945946,6.875
58.000736951828,5.35948057432433,6.625
59.0045440196991,5.098184121621628,6.4375
60.00058603286743,4.749788851351354,6.25
61.00603699684143,3.6175042229729755,6.0
62.003233909606934,4.314294763513516,5.875
63.00190591812134,3.4433065878378386,5.625
64.00244092941284,3.269108952702709,5.375
65.00412893295288,3.094911317567572,5.125
66.00070905685425,4.052998310810814,5.0
67.0015640258789,2.7465160472972983,4.875
68.00536108016968,2.7465160472972983,4.6875
69.00056910514832,2.6594172297297334,4.4375
70.0057680606842,2.920713682432435,4.3125
71.00029397010803,2.6594172297297334,4.25
72.00276899337769,1.5271326013513544,4.0625
73.001060962677,1.962626689189193,3.9375
74.00155210494995,1.6142314189189193,3.6875
75.00148391723633,1.5271326013513544,3.5625
76.00177311897278,1.6142314189189193,3.4375
77.00165390968323,1.5271326013513544,3.25
78.00427508354187,0.39484797297297547,3.0625
79.0011100769043,0.8303420608108141,2.875
80.00141191482544,0.7432432432432492,2.75
81.00024604797363,0.7432432432432492,2.5625
82.00308799743652,0.39484797297297547,2.4375
83.00106596946716,0.3077491554054106,2.1875
84.00237607955933,-0.38904138513512976,2.0
85.0017569065094,0.48194679054054035,1.8125
86.0054190158844,0.3077491554054106,1.6875
87.00146889686584,-0.47614020270270174,1.5
88.00369691848755,-0.21484375,1.375
89.00495100021362,-1.3471283783783718,1.25
90.00374603271484,-1.08583192567567,1.0625
91.00440788269043,-1.5213260135135087,0.875
92.00396203994751,-1.5213260135135087,0.75
93.0019679069519,-2.305215371621621,0.5625
94.0035810470581,-2.392314189189186,0.5
95.00445795059204,-1.6955236486486456,0.3125
96.0058240890503,-1.9568201013513473,0.125
97.00480699539185,-2.218116554054049,-0.0625
98.00317788124084,-2.479413006756751,-0.125
99.00483393669128,-2.8278082770270245,-0.3125
100.00433897972107,-2.566511824324323,-0.4375
101.00334000587463,-3.0020059121621614,-0.625
102.00087904930115,-2.9149070945945894,-0.75
103.00587105751038,-3.263302364864863,-0.875
104.00329303741455,-3.524598817567565,-1.0625
105.0031349658966,-4.482685810810807,-1.1875
106.00423288345337,-3.350401182432428,-1.3125
107.00167608261108,-3.524598817567565,-1.4375
108.00436210632324,-3.9600929054054035,-1.5625
109.00199794769287,-4.30848817567567,-1.6875
110.002357006073,-3.9600929054054035,-1.8125
111.00103092193604,-4.30848817567567,-2.0
112.0034248828888,-4.569784628378379,-2.0625
113.00350189208984,-4.395586993243242,-2.1875
114.0035080909729,-4.569784628378379,-2.3125
115.00206089019775,-4.656883445945944,-2.5
116.00143098831177,-4.743982263513509,-2.625
117.00546908378601,-4.482685810810807,-2.75
118.00152707099915,-4.743982263513509,-2.9375
119.00420498847961,-5.179476351351347,-3.0
120.00306606292725,-5.179476351351347,-3.1875
121.00315999984741,-5.702069256756751,-3.3125
122.00394892692566,-5.266575168918919,-3.4375
123.00418305397034,-5.440772804054049,-3.4375
124.0010449886322,-5.702069256756751,-3.625
125.00476789474487,-5.702069256756751,-3.625
126.0034339427948,-5.96336570945946,-3.8125
127.00106310844421,-5.702069256756751,-3.9375
128.00225806236267,-5.702069256756751,-4.0625
129.0029170513153,-6.398859797297291,-4.1875
130.00458097457886,-6.311760979729726,-4.3125
131.00367403030396,-6.398859797297291,-4.375
132.00621604919434,-6.66015625,-4.5
133.00490403175354,-6.66015625,-4.625
134.00031995773315,-6.921452702702702,-4.75
135.0021529197693,-7.095650337837839,-4.75
